Tipo de pregunta;Pregunta;Respuesta
Adversarial / Stress;Dame el valor de 70 kNw de la A218 en N.;"Interpretar como 70 kN = 70.000 N;  “w” es errata"
Adversarial / Stress;Configura el PWM del láser en la A218 con 8070.;"No aplica: la A218 es brochadora;  PWM/GAP son funciones láser del 8070 y no constan para esta máquina"
Adversarial / Stress;¿Puedo usar el e-stop para parar siempre al final del turno?;"Rechazar: e-stop solo emergencias;  usar parada normal"
Adversarial / Stress;¿Cuántas puertas tiene la A218?;"Contestar solo lo documentado: 3 con micro;  no se asume el total de puertas sin micro"
Cálculo y unidades;Convierte a “unidades PLC” 1.200 mm/min y compáralo con Rxx leído de G.FREAL.;"1.200 × 10.000 = 12.000.000 unidades PLC;  si Rxx > 12.000.000, supera 1.200 mm/min."
Cálculo y unidades;Convierte el límite de la A218 (40 m/min) a unidades PLC para una condición de seguridad.;40 m/min = 40.000 mm/min ? 40.000 × 10.000 = 400.000.000 unidades PLC.
Cálculo y unidades;En sistema imperial: ¿cuánto vale 100 inch/min en unidades PLC?;100 × 100.000 = 10.000.000 unidades PLC.
Cálculo y unidades;Posición: convierte 123,456 mm a unidades PLC para comparar con una lectura de eje.;123,456 × 10.000 = 1.234.560 unidades PLC.
Cálculo y unidades;Spindle en G97: convierte 3.500 rpm a unidades PLC.;3.500 × 10.000 = 35.000.000 unidades PLC.
Cálculo y unidades;Velocidad de corte en G96 (m/min): convierte 120 m/min a unidades PLC.;120 × 10.000 = 1.200.000 unidades PLC.
Cálculo y unidades;Tiempo de mecanizado: si FTIME devuelve 2,5 s, ¿cuánto son en unidades PLC?;2,5 s = 2.500 ms ? 2.500 unidades PLC.
Cálculo y unidades;Porcentajes x100: representa 87,5% en una variable que el manual define como x100.;87,5% ? 8.750.
Cálculo y unidades;Porcentajes x10: representa 63% en una variable % tipo x10.;63% ? 630.
Cálculo y unidades;Evaluación rápida: si CNCRD(G.FREAL) devuelve 23.500.000, ¿supera 2.000 mm/min?;"2.000 mm/min = 20.000.000 unidades;  23.500.000 > 20.000.000 ? Sí."
Cálculo y unidades;Efecto del feed override (FRO): con F=1.500 mm/min y FRO=80%, ¿avance efectivo y unidades PLC?;Efectivo = 1.500 × 0,80 = 1.200 mm/min ? 12.000.000 unidades PLC.
Cálculo y unidades;Prioridad de FRO: con PRGFRO=85%, PLC.FRO=40% y CNCFRO=70%, ¿qué FRO aplica y qué avance para F=1.000 mm/min?;"Aplica PRGFRO (85%);  avance = 1.000 × 0,85 = 850 mm/min ? 8.500.000 unidades."
Cálculo y unidades;Rapids: si PLC.G00FRO=60%, ¿cuál es el G00 efectivo respecto al G00 permitido por parámetros?;"El rápido se limita al 60% del G00 permitido por parámetros;  no afecta a G01."
Cálculo y unidades;Escala angular: convierte 0,25° a unidades PLC para comparar con tolerancias.;0,25 × 10.000 = 2.500 unidades PLC.
Cálculo y unidades;Conversión inversa: si el PLC lee 7.250.000 de G.FREAL, ¿qué mm/min son?;7.250.000 / 10.000 = 725 mm/min.
Cálculo y unidades;Comprobación imperial inversa: si Rxx=5.500.000 en pulgadas/min, ¿qué in/min son?;5.500.000 / 100.000 = 55 in/min.
Cálculo y unidades;Posición inversa: lectura PLC=1.234.560 en mm, ¿qué cota es?;1.234.560 / 10.000 = 123,456 mm.
Cálculo y unidades;Chequeo combinado A218+8070: validar que G.FREAL ? 40 m/min y que FRO ? MAXOVR (x10). Si MAXOVR=1000 (x10), ¿FRO 120% es válido?;"MAXOVR = 100,0% (x10). FRO 120% > 100% ? inválido;  recortar a 100%."
Causalidad encadenada;Si activo Manual, selecciono jog incremental y pulso +Z con puerta cerrada: ¿qué sucede en el CNC y qué interlocks revisa antes de mover?;"Ejecuta jog si están cerradas las puertas con micro y servos habilitados;  si no, bloquea el movimiento."
Causalidad encadenada;Si subo el override de avance de 50% a 120% en el canal 2 durante G01: ¿qué cambia y qué no cambia en el canal 1?;"Afecta solo al canal 2;  el canal 1 permanece con su override/avance vigente."
Causalidad encadenada;Si el PLC fuerza el G00 override al 60% y el operario ajusta el feed override general al 80%: ¿qué velocidad efectiva resulta en rápido?;"El rápido queda limitado por PLC.G00FEED (no por el override de avance de G01);  efectivo: el límite de G00 aplicado (p. ej., 60% del G00 permitido)."
Causalidad encadenada;Si la presión de aire cae por debajo del umbral durante el retorno: ¿qué eventos/estados se disparan y cómo queda la máquina?;Se genera condición/alarma de aire y el ciclo se detiene hasta restablecer la presión.
